"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R1,R2";"R_0805_2012Metric";2;"40k";;;
2;"VLT_DBG1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
3;"OPT_EN1,INT_EN1,INT_SEL1";"PinHeader_1x03_P2.54mm_Vertical";3;"Jumper_3_Open";;;
4;"R4,R3";"R_0805_2012Metric";2;"10k";;;
5;"C1,C2";"C_0603_1608Metric";2;"100nF";;;
6;"H2,H3,H1";"MountingHole_3.2mm_M3_DIN965_Pad_TopBottom";3;"MountingHole_Pad";;;
7;"D1";"LED_0603_1608Metric";1;"LED";;;
8;"R5";"R_0805_2012Metric";1;"1k5";;;
9;"U2";"SOT-23-3";1;"ZMR330FTA";;;
10;"U1";"LGA-14L_2P5X3X0P83_STM";1;"LSM6DSMTR";;;
11;"OPT1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
12;"I2C_PWR1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
